example_id,contract_id,category,label_id,clause_text,normalized_text_sha256,word_count,char_count,fold,split
cuad_00011,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Anti-Assignment,1,"Provider may not assign, delegate or otherwise transfer either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of Recipient.",82584f479621c7ccef9f17d6abb07be6b0b995e87a2919f0544c4b0e85daadc1,27,184,2,train
cuad_00012,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Governing Law,4,"This Agreement and any claim, controversy or dispute arising out of or related to this Agreement, any of the transactions contemplated hereby and/or the interpretation and enforcement of the rights and duties of the Parties, whether arising in contract, tort, equity or otherwise, shall be governed by and construed in accordance with the domestic laws of the State of Israel (including in respect of the statute of limitations or other limitations period applicable to any such claim, controversy or dispute), without giving effect to any choice or conflict of law provision or rule (whether of the State of Israel or any other jurisdiction) that would cause the application of the laws of any jurisdiction other than the State of Israel.",d12c44c90e41dbc142157f095d1a0a0e48084c79076c31c7c8c51ee3ece9fb37,120,739,2,train
cuad_00013,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Ip Ownership Assignment,9,"All writings or works of authorship, including, without limitation, program codes or documentation, produced or authored by Provider in the course of performing services for the Recipient, together with any associated copyrights, are works made for hire and the exclusive property of the Recipient.",2730f4d8b43b1b7275884161ebcb0fadd21dee7ffb4cee098000002f9b053913,44,298,2,train
cuad_00014,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Ip Ownership Assignment,9,"Recipient shall own, and Provider hereby irrevocably assigns to the Recipient, all rights, title, and interest in any invention, technique, process, device, discovery, improvement, or know-how, whether patentable or not and all other proprietary rights, industrial rights and any other similar rights, in each case on a worldwide basis, and all copies and tangible embodiments thereof, or any part thereof, in whatever form or medium hereafter made or conceived solely or jointly by Provider while working for or on behalf of the Recipient, which relate to, is suggested by, or results from the Services.",b60466b40aa1929465ff48ed90034570bfb00166f8d1461925f6c74f4886af48,94,604,2,train
cuad_00015,ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Ip Ownership Assignment,9,"To the extent that any writings or works of authorship may not, by operation of law, be works made for hire, this Agreement shall constitute an irrevocable assignment by Provider to the Recipient of the ownership of and all rights of copyright in, such items, and the Recipient shall have the right to obtain and hold in its own name, rights of copyright, copyright registrations, and similar protections which may be available in the works.",2ffcb9db9d14e4d5569ca7549614b73376cb1dda986835c67d5b3eb895b57b80,75,441,2,train
cuad_00016,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,Anti-Assignment,1,"No Joint      Venturer shall be authorized or empowered to mortgage, hypothecate, pledge,      sell, or transfer, an interest in the Joint Venture, nor confer on any      successor or assignee the right to become a Joint Venturer without the      consent of the other Joint Venturer.",b892567fa2893752efb917d3128dff4b34af8af4f2dcc266f72cb84eaed06fb2,43,283,5,train
cuad_00017,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,Audit Rights,0,"All books and records of every kind and character, of      the Joint Venture, and other information, shall be kept at the principal      office of the Joint Venture, or at such other place or places as may be      agreed upon by the Joint Venturers, and shall be fully available to each      Joint Venturer or his duly authorized representative, all at reasonable      times.",a23a50388b2d872906bc794e30198890fb5ee88fde32ce6ace2bb675f2e6ab1e,61,375,5,train
cuad_00018,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,Audit Rights,0,"If requested      by a Joint Venturer, the Joint Venture books and records shall be audited      as of the close of each year by an independent accountant acceptable to      both Joint Venturers.",7bd95e5ffa2208edb045c4435a2322153a48817adafe8f8f2d3c4357645e3616,31,195,5,train
cuad_00019,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,Governing Law,4,"The Joint Venturers declare that in entering into this      Agreement, they have contracted with reference to the laws of the      Commonwealth of Pennsylvania, and the construction and interpretation of      the terms and provisions of this Agreement shall be interpreted and      construed under the laws of the Commonwealth of Pennsylvania, except in      such cases and to such extent as the laws of another jurisdiction shall      necessarily control.",18232daf151818b41bf5f98fba11e95ceaad728db3a274975a5b1bf279011b4c,66,456,5,train
cuad_00020,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT.PDF,Revenue/Profit Sharing,5,"Division of Income and Losses. All income and credits, and all losses and      deductions shall be owned and shared among the Joint Venturers as follows:

     50% to Collectible Concepts Group, Inc.

     50% to Pivotal Self Service Tech, Inc.",17486708e4318e3c691627f2bfbb46ab11e70889526d1da869732f3e2efce057,38,244,5,train
cuad_00021,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Anti-Assignment,1,"Neither this Agreement, nor any of the rights, interests, or obligations under this Agreement may be assigned or  delegated, in whole or in part, by operation of law or otherwise, by any party without the prior written consent of the other party,  and any such assignment without such prior written consent shall be null and void; provided, however, that this Agreement may be  assigned by a Party in connection with a Change in Control of such party, subject to the specific termination and other rights set  forth in the Strategic<omitted>Alliance Agreement upon such Change in Control; provided, further, that Siemens may assign its rights and obligations under this  Agreement to any Distributor that agrees, in writing, to be bound by and comply with the terms and conditions of this Agreement  and the provisions of the Strategic Alliance Agreement, provided, that no such assignment shall relieve Siemens of its obligations  hereunder or thereunder if such Distributor does not perform such obligations.",e32d661411b4bb53ee08d8ec14d2cdb1658bc291b837d09f891fcdc16c0fd910,160,1010,0,train
cuad_00022,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Cap On Liability,3,"If a Customer notifies Accuray in writing during the Warranty Period of a defect in a Product that  causes the Product to fail to conform to the foregoing warranty, Accuray shall at its option either repair or replace the non- conforming Product or, if in Accuray's opinion such repair or replacement is not commercially reasonable, Accuray shall  refund a pro-rated portion of the price paid by the Customer for such Product calculated based on a straight-line  depreciation over a 5-year period beginning on the date of delivery.",ebf28631b9b33352d31de3f98044227400a4c3f5a1288750d6542124656b9c1f,87,531,0,train
cuad_00023,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Cap On Liability,3,This is Accuray's sole and exclusive obligation and Customer's and Distributor's sole  and exclusive remedy in relation to any Safety Update required to be provided by applicable law in the Customer's  jurisdiction.,1d224d8ee3402338e75a83a2d9e39704ce995ed5bc5ecc1cbf42b07f721685cd,32,215,0,train
cuad_00024,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Cap On Liability,3,This is Accuray's  sole and exclusive obligation and Customer's and Distributor's sole and exclusive remedy in relation to defective software.,a997a71af6e900ad1bff85dd637494e7e5ccde0c5b4e7146573b13fc96a746fc,20,142,0,train
cuad_00025,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Cap On Liability,3,This will be Accuray's sole and exclusive obligation  and such Customer's sole and exclusive remedy in relation to defective Products and parts.,7a2ce189426f52cc6fde23a59b261c13c36f79accb5192c48279bc8995f8bdf1,22,144,0,train
cuad_00026,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Cap On Liability,3,"WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW, THE FOREGOING  PROVISIONS OF THIS SECTION SET FORTH ACCURAY'S SOLE AND EXCLUSIVE LIABILITY AND DISTRIBUTOR'S SOLE  AND EXCLUSIVE REMEDY FOR ANY CLAIMS OF INFRINGEMENT OR MISAPPROPRIATION OF INTELLECTUAL PROPERTY  RIGHTS OR PROPRIETARY RIGHTS OF ANY KIND.",822d076d982b679447058b5778e126f644421040280807f9afbf2b924fadc480,45,329,0,train
cuad_00027,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Governing Law,4,"This Agreement shall be governed by, and construed in accordance with, the laws of the Federal Republic of Germany excluding the United Nations Convention on Contracts of International Sale of Goods (CISG) and the provisions of German private  international law.",094e0ed5b8f7bcde6eab37871270b48b0431775883d16021fbaef43f73b6865a,40,262,0,train
cuad_00028,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Post-Termination Services,7,Accuray and Distributor agree to negotiate in good faith an orderly transition of Distributor's  distribution responsibilities and activities to Accuray or a third party designated by Accuray and Distributor agrees to  assist in the transition.,456976389b82e5c05284f41d77a24a5cc82e352da1ed5080354e3753f2655e17,35,244,0,train
cuad_00029,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Post-Termination Services,7,"Furthermore, each of the parties agree to cooperate fully with the other for  any reasonable transition assistance required in the case of termination or expiration of this Agreement.",d46d7d103e19873d34bf721c7a676be258e2e44e2966469c654fcc537e62b94c,28,183,0,train
cuad_00030,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,Post-Termination Services,7,"Upon a termination of this Agreement, Accuray shall continue to make available to Customers support services on  commercially reasonable terms, including, without limitation, spare parts for the Systems for a minimum period of 10 years after the  last shipment of a System pursuant to this Agreement.",2d92baa1e41f24f3c1fcbeee7fd1519f5e1325bdc4fb55c5b4c89d149f7c3546,46,300,0,train
cuad_00031,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,Anti-Assignment,1,"Neither ADAMS GOLF nor CONSULTANT shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.",4f73c3ab15e4b5d6a085cefe9dd58862902f57dc70d4fb096a78f949c7d749bc,27,174,4,train
cuad_00032,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,Governing Law,4,This Agreement shall be governed and construed according to the laws of the State of Kansas.,54943c137a3024f50327e7d746c0e4bb09dea54a7e0c4c4d4517dbe48d897be7,16,92,4,train
cuad_00033,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,Minimum Commitment,6,"""MANDATORY PRODUCTS"" shall mean the following ADAMS GOLF PRODUCTS  that CONSULTANT must exclusively play/use in all Champions/Senior Professional Golf Association (SPGA) and Professional Golf Association (PGA) events at all times:

[***** ]  Confidential Material redacted and filed separately with the Commission.   2





  1.[*****] 2.Sufficient [*****] to maintain total minimum of [*****] ADAMS GOLF  [*****] (includes [*****])[*****] at all times",15b5ecbc62d41c9d3cf0d11e199a93c9ba2a9762f08aaf0ebb32c1687dfa890c,59,452,4,train
cuad_00034,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,Minimum Commitment,6,"If for any reason, CONSULTANT should achieve a satisfactory record of play in less than [*****] SPGA and/or PGA tour events in a calendar year, he shall repay ADAMS GOLF an amount per event for each event under [*****] achieved in the given calendar year as follows:

The agreed upon repayment amount per event per calendar year:

1.  Year 1. $[*****] 2.  Year 2 $[*****] 3.  Year 3 $[*****] 4.  Year 4 $[*****] 5.  Year 5 $[*****]",d17ce63fd126f2b1e8dad771060d88ad3841cd15b30f4609f43fc3c8550093d5,77,431,4,train
cuad_00035,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT.PDF,Minimum Commitment,6,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games).",1c03cedc20cb8a98d2e9af40bbcd7d0667d704a01b342a2a28db075733d4f1fa,44,257,4,train
cuad_00036,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Anti-Assignment,1,"Any assignment or attempt to assign, or any delegation or attempt to delegate, not in accordance with this Section shall be void and without effect.",16f4ce66e67f8bb7f110549cafbdb639caf62073a06d52759f2c5e21a83a65fe,25,148,6,train
cuad_00037,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Anti-Assignment,1,MD Anderson shall not subcontract any of its or the Principal Investigator's responsibilities under this Agreement without the prior written consent of Adaptimmune.,88abd5f03a36d30d1176ac3141885ec04a4fd68df9f1e4822b61255022ba3f96,23,164,6,train
cuad_00038,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Anti-Assignment,1,This Agreement and/or any Study Order may not be assigned by either Party except as agreed upon in writing by the other Party.,b2c6cc2e2b8a0306246221e7e64eb4c6756714db3d6472efc33dc09f5aa7ecb7,23,126,6,train
cuad_00039,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Audit Rights,0,"Any such visits shall be scheduled in coordination with MD Anderson and/or Principal Investigator during normal administrative business hours, and shall be subject Adaptimmune's and Adaptimmune Limited's compliance with MD Anderson's reasonable measures for confidentiality, safety and security, and shall also be subject to compliance with generally applicable premises rules at MD Anderson.",25e9f8e4b0d0e27de1518e63051306657646a256575103207c0b277eda3f22fb,53,392,6,train
cuad_00040,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Audit Rights,0,"As applicable to and appropriate for a Clinical Study, Adaptimmune may monitor the conduct of a Clinical Study in accordance with Good Clinical Practice requirements of FDA Regulations, and may visit MD Anderson for the purpose of such monitoring.",acbb6b0ef0838f3994647c4e57f31463c615d351b7d6efa525eb2b9cad95c753,39,247,6,train
cuad_00041,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Audit Rights,0,"During any visit, MD Anderson and Principal Investigator shall reasonably cooperate with Adaptimmune and will use reasonably efforts to promptly provide any reasonably Study Records or Study information requested by Adaptimmune in accordance with this Section.",21502332e1debd9edd2f8c1351690157501eceb277bfc7cf029fb58695ed5e89,36,260,6,train
cuad_00042,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Audit Rights,0,Such monitoring visits shall also enable Adaptimmune to (a) inspect and review any or all Study Records and Study source documents for comparison with case report forms; and (b) audit financial records relating solely to the performance of the Study under this Agreement.,99b5d41bc07f879ad429510b59ebbb84211efb9f284f896322dd20f848717d42,43,271,6,train
cuad_00043,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Cap On Liability,3,NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT OR CONSEQUENTIAL DAMAGES SUFFERED BY THE OTHER PARTY AS A RESULT OF PERFORMANCE OF ANY STUDY UNDER THIS AGREEMENT.,ef1d6b1ad93762e97ce3365c3669dc291f87dcf994d02e3f9e087e1123d81bbf,27,161,6,train
cuad_00044,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Governing Law,4,Any disputes or claims arising under this Agreement shall be governed by the laws of the State of Texas.,42b8a8bcc0a3ac08593ca0200bb06d73892497ffb04e3ec6e7a827e1373b0436,19,104,6,train
cuad_00045,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Insurance,2,"During the term of any Study Order under this Agreement, Adaptimmune Limited shall maintain in full force and effect insurance for its and Adaptimmune's liabilities arising from the Study with limits of not less than $*** per loss and $*** annual aggregate. Adaptimmune shall provide MD Anderson with evidence of such insurance upon request.",e7cc758a199521e45b9fdf23c671f79cdac81a66ce07b4055601b190a3a685d8,54,341,6,train
cuad_00046,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Insurance,2,MD Anderson has and will maintain in force during the term of this Agreement adequate insurance or financial resources to cover its obligations pursuant to this Agreement.,121b793be73f69c7026d433d794481032fcf5e4337d4ec8bf41f4a715d0607ce,27,171,6,train
cuad_00047,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,License Grant,8,"For clarity the grant of any license under any Invention or assignment of any Invention by either Party does not include any license under any of such Party's Background IP, even where such Background IP dominates or encompasses any Invention.",be1e936f351b1e4a0d6ea73b13898f489df48a2573812646ae3d99171cb38a81,40,243,6,train
cuad_00048,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,License Grant,8,"Notwithstanding any other provision of this Agreement, MD Anderson shall have the right to use results and Data of the Study for its internal research, academic, and patient care purposes and for publication in accordance with Section 12 below, save that no right or license is granted to MD Anderson under any of Adaptimmune's Background IP. Adaptimmune shall promptly disclose any Data it generates to MD Anderson.",8a8182723630648ac2dddc5a3618db90f21357b59678515cc1306b70fe562c79,67,416,6,train
cuad_00049,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,License Grant,8,Such license shall include an unrestricted right to sublicense through multiple tiers.,f349f978b9e66ea806930cc0cfba4bb317d54a5ce00f86c1ee998d5a481e02b8,12,86,6,train
cuad_00050,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Minimum Commitment,6,"Adaptimmune agrees to commit funding in an amount of at least nineteen million six hundred and forty four thousand Dollars US ($19,644,000) for the performance of the Studies as set out in Exhibit I during the term (""Alliance Funding"").",641b1efcb453c24d8866415885d2f7f8794c481eaa444393b4155104958f6844,39,236,6,train
cuad_00051,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Post-Termination Services,7,"All reasonable fees associated with the wind-down activities and final monitoring visit shall be paid by Adaptimmune, to the extent not covered by Alliance Funding.",ce409c9b9df974f8cd2168ff76d25ffc1107a5498aa7ae0afc3b0bdc7a13435f,25,164,6,train
cuad_00052,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Post-Termination Services,7,"In the event of expiration or early termination of this Agreement, the terms and conditions of this Agreement shall remain binding with respect to any ongoing Studies (including any new studies to which any remaining Alliance Funding is allocated under Section 1.3) until completion of the Studies or termination of the respective Study Order/s.",ec1d98652019d56eb33ec7975859fcfb6da7bae7972e057b76aef1acd8122f49,54,345,6,train
cuad_00053,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Post-Termination Services,7,Should MD Anderson terminate this Agreement in accordance with this Section 8.6 then the Parties will use reasonable efforts to ensure that any Clinical Study in relation to which any patient has been screened or enrolled shall continue under a separate clinical trial agreement to be entered into between the Parties as soon as possible after receipt of notice of termination by Adaptimmune.,6c615c3857915b79c7712054e6e866f7422278f21a245c54cd3c8976b5045080,63,392,6,train
cuad_00054,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Post-Termination Services,7,Termination of one or more Study Orders will not automatically result in the termination of this Agreement or termination of any other Study Orders.,946224ef0f4b9e0bc4a6066e04a107e7ba82b1c10968bde582b4820804a9bef8,24,148,6,train
cuad_00055,ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC ALLIANCE AGREEMENT.PDF,Post-Termination Services,7,The Parties agree that any termination of a Study Order shall allow for: (i) the wind down of the Study to ensure the safety of Study subjects; and (ii) Adaptimmune's final reconciliation of Data related to the Study in addition to Adaptimmune's final monitoring visit.,81ff3cc84d6d93fea7fce2928321d991da067f49036773a6a7c8b3e70af16d02,45,269,6,train
cuad_00056,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",Anti-Assignment,1,"Detto may not assign any of its rights or delegate any of its obligations hereunder, whether by operation of law or otherwise, without PivX's prior written consent. Subject to the foregoing, this Agreement shall bind and inure to the benefit of the parties, their respective successors and permitted assigns.",063ee6c1e12fb189a2a4d6c8cebb20db88cf6f58e1cd8aa2a47437c7df079f14,49,308,2,train
cuad_00057,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",Audit Rights,0,"In addition, Detto shall make its offices and equipment available in person, upon reasonable notice, and to the extent feasible, remotely, to PivX to inspect and test Detto's physical and technical set-up to ensure that Detto is complying with its obligations under this Section.",ba958637cb89a7c0cc79825a261021628ecba25c5941c0f0626895465342c695,44,279,2,train
cuad_00058,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",Audit Rights,0,"PivX shall have the right, at reasonable times and on reasonable notice, to inspect and audit the books and records of Detto to verify the accuracy of any statements.",56b2c6b9e78a34f63ad9d190771fad0a22b88bb65bb582dced721c1717f99b07,29,166,2,train
cuad_00059,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",Cap On Liability,3,"In the event of termination in accordance with Section 5.1, PivX shall not be liable to Detto because of such termination for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of Detto.",167d9311dd0742f821050a32d8ece1f6aa7da9a26d76c5530534064d15c8ee9c,56,362,2,train
cuad_00060,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",Governing Law,4,"This Agreement shall be governed by and construed under the laws of the State of California, excluding conflict of laws provisions and excluding the 1980 United Nations Convention on Contracts for the International Sale of Goods.",a5a431dd5b8140e1fb62933a81386783d669408e0d8ec6b3f20e0c5a77d4ed5f,36,229,2,train
cuad_00061,"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER AGREEMENT.PDF",License Grant,8,"During the term of this Agreement, Detto shall have the right to use and reproduce the Trademarks in connection with Detto's marketing, advertising, promotion and distribution of Qwik-Fix Pro.",a5f114d34e60652621b265de682be6a9f408dadbb89fe65ead0c62a5b7224694,29,192,2,train
cuad_00062,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",Cap On Liability,3,All claims by Sanofi Pasteur for breach or default under this Agreement shall be brought within [***] year after the cause of action comes into existence or otherwise shall be waived.,4ab36044272d5db5d481233ec145714f644fc4e11bad8716ad830cfdfd03a72e,31,183,0,train
cuad_00063,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",Cap On Liability,3,"Limitation of Liability: In no event shall either party be liable to the other party for incidental, indirect, special and consequential or punitive damages, including without limitation any claims for damages based upon lost profits or lost business opportunity.",993d3f7e0cd014fc77ac328f6654df249215246d1b698395ddbf7851d074690e,39,263,0,train
cuad_00064,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",Cap On Liability,3,"The liability cap set forth under section 6.5 is hereby amended to adapt to the provisions of this Amendment #3 and is therefore set at ""[***]"" instead of ""[***]"".",8973e903145b5ca382e589b4b85be5823911aa0eccf05f2cecd00b68515f9a06,29,163,0,train
cuad_00065,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement .PDF",Post-Termination Services,7,"such a case, the remaining Source Plasma shall be immediately returned to Sanofi Pasteur, under ADMA's liability and expenses. S",8026dd5843ef125714b04422fbce73c4f4bfdc55b35dcfe160ac028ab7d9cd13,20,128,0,train
